   11   21   31   41
   12   22   32   42
   13   23   33   43
   14   24   34   44
   15   25   35   45
   16   26   36   46
   17   27   37   47
   18   28   38   48
   19   29   39   49
   20   30   40   50
   21   31   41   51
   22   32   42   52
   23   33   43   53
   24   34   44   54
   25   35   45   55
   26   36   46   56
   27   37   47   57
   28   38   48   58
   29   39   49   59
   30   40   50   60
   31   41   51   61
   32   42   52   62
   33   43   53   63
   34   44   54   64
   35   45   55   65
   36   46   56   66
   37   47   57   67
   38   48   58   68
   39   49   59   69
   40   50   60   70
   41   51   61   71
   42   52   62   72
   43   53   63   73
   44   54   64   74
   45   55   65   75
   46   56   66   76
   47   57   67   77
   48   58   68   78
   49   59   69   79
   50   60   70   80
   51   61   71   81
   52   62   72   82
   53   63   73   83
   54   64   74   84
   55   65   75   85
   56   66   76   86
   57   67   77   87
   58   68   78   88
   59   69   79   89
   60   70   80   90
   61   71   81   91
   62   72   82   92
   63   73   83   93
   64   74   84   94
   65   75   85   95
   66   76   86   96
   67   77   87   97
   68   78   88   98
   69   79   89   99
   70   80   90  100
   71   81   91  101
   72   82   92  102
   73   83   93  103
   74   84   94  104
   75   85   95  105
   76   86   96  106
   77   87   97  107
   78   88   98  108
   79   89   99  109
   80   90  100  110
   81   91  101  111
   82   92  102  112
   83   93  103  113
   84   94  104  114
   85   95  105  115
   86   96  106  116
   87   97  107  117
   88   98  108  118
   89   99  109  119
   90  100  110  120
   91  101  111  121
   92  102  112  122
   93  103  113  123
   94  104  114  124
   95  105  115  125
   96  106  116  126
   97  107  117  127
   98  108  118  128
   99  109  119  129
  100  110  120  130
